Sembol,Yon,Model,Esik,Train_N,Val_N,Train_TP,Train_FP,Train_TN,Train_FN,Train_Acc,Train_WinRate,Train_Recall,Train_F1,Train_AUC,Val_TP,Val_FP,Val_TN,Val_FN,Val_Acc,Val_WinRate,Val_Recall,Val_F1,Val_AUC,Sektor
VLTO,LONG,sp500_genel,50.0,493,88,0,0,346,147,70.2,0.0,0.0,0.0,67.3,0,0,78,10,88.6,0.0,0.0,0.0,30.0,Bilinmiyor
VLTO,SHORT,sp500_genel,50.0,493,88,136,330,26,1,32.9,29.2,99.3,45.1,59.9,22,45,16,5,43.2,32.8,81.5,46.8,63.0,Bilinmiyor
VMC,LONG,sp500_genel,50.0,5573,984,0,0,3625,1948,65.0,0.0,0.0,0.0,56.0,0,0,600,384,61.0,0.0,0.0,0.0,34.4,Bilinmiyor
VMC,SHORT,sp500_genel,50.0,5573,984,387,792,3120,1274,62.9,32.8,23.3,27.3,46.5,258,676,47,3,31.0,27.6,98.9,43.2,69.0,Bilinmiyor
VRSK,LONG,sp500_genel,50.0,3486,616,0,0,2134,1352,61.2,0.0,0.0,0.0,47.5,0,0,478,138,77.6,0.0,0.0,0.0,62.3,Bilinmiyor
VRSK,SHORT,sp500_genel,50.0,3486,616,239,695,1996,556,64.1,25.6,30.1,27.6,54.1,156,346,64,50,35.7,31.1,75.7,44.1,42.2,Bilinmiyor
VRSN,LONG,sp500_genel,50.0,5573,984,0,0,3477,2096,62.4,0.0,0.0,0.0,65.2,0,0,586,398,59.6,0.0,0.0,0.0,38.2,Bilinmiyor
VRSN,SHORT,sp500_genel,50.0,5573,984,257,465,3572,1279,68.7,35.6,16.7,22.8,69.9,234,689,52,9,29.1,25.4,96.3,40.1,58.4,Bilinmiyor
VRT,LONG,sp500_genel,50.0,1599,283,0,0,1019,580,63.7,0.0,0.0,0.0,63.3,0,0,146,137,51.6,0.0,0.0,0.0,19.7,Bilinmiyor
VRT,SHORT,sp500_genel,50.0,1599,283,56,691,687,165,46.5,7.5,25.3,11.6,52.5,8,85,188,2,69.3,8.6,80.0,15.5,100.0,Bilinmiyor
VRTX,LONG,sp500_genel,50.0,5573,984,0,0,3753,1820,67.3,0.0,0.0,0.0,53.7,0,0,634,350,64.4,0.0,0.0,0.0,33.4,Bilinmiyor
VRTX,SHORT,sp500_genel,50.0,5573,984,151,422,3685,1315,68.8,26.4,10.3,14.8,72.8,163,753,54,14,22.1,17.8,92.1,29.8,55.9,Bilinmiyor
VST,LONG,sp500_genel,50.0,1989,352,0,0,1198,791,60.2,0.0,0.0,0.0,49.7,0,0,266,86,75.6,0.0,0.0,0.0,47.7,Bilinmiyor
VST,SHORT,sp500_genel,50.0,1989,352,155,621,950,263,55.6,20.0,37.1,26.0,58.1,21,56,203,72,63.6,27.3,22.6,24.7,71.0,Bilinmiyor
